EmployeeID,DealershipID,Month,Sales_Amount,Urban_or_Rural
E101,D1,April,32052,Urban
E102,D1,April,49151,Urban
E103,D1,April,44417,Urban
E101,D1,August,35036,Urban
E102,D1,August,27042,Urban
E103,D1,August,32227,Urban
E101,D1,December,42460,Urban
E102,D1,December,46668,Urban
E103,D1,December,25100,Urban
E101,D1,February,45319,Urban
E102,D1,February,25129,Urban
E103,D1,February,33317,Urban
E101,D1,January,47419,Urban
E102,D1,January,46102,Urban
E103,D1,January,29018,Urban
E101,D1,July,40693,Urban
E102,D1,July,32933,Urban
E103,D1,July,20610,Urban
E101,D1,June,29744,Urban
E102,D1,June,40948,Urban
E103,D1,June,43321,Urban
E101,D1,March,45822,Urban
E102,D1,March,28967,Urban
E103,D1,March,42597,Urban
E101,D1,May,21967,Urban
E102,D1,May,26749,Urban
E103,D1,May,22432,Urban
E101,D1,November,42358,Urban
E102,D1,November,43831,Urban
E103,D1,November,35574,Urban
E101,D1,October,28315,Urban
E102,D1,October,21760,Urban
E103,D1,October,35449,Urban
E101,D1,September,30488,Urban
E102,D1,September,33861,Urban
E103,D1,September,49124,Urban
E1001,D10,April,19677,Rural
E1002,D10,April,29248,Rural
E1003,D10,April,21820,Rural
E1001,D10,August,15533,Rural
E1002,D10,August,26962,Rural
E1003,D10,August,23895,Rural
E1001,D10,December,27241,Rural
E1002,D10,December,16074,Rural
E1003,D10,December,25846,Rural
E1001,D10,February,18555,Rural
E1002,D10,February,25781,Rural
E1003,D10,February,21634,Rural
E1001,D10,January,24457,Rural
E1002,D10,January,14308,Rural
E1003,D10,January,10813,Rural
E1001,D10,July,27362,Rural
E1002,D10,July,22569,Rural
E1003,D10,July,12579,Rural
E1001,D10,June,12686,Rural
E1002,D10,June,18116,Rural
E1003,D10,June,28735,Rural
E1001,D10,March,15846,Rural
E1002,D10,March,16723,Rural
E1003,D10,March,17000,Rural
E1001,D10,May,10220,Rural
E1002,D10,May,15838,Rural
E1003,D10,May,28402,Rural
E1001,D10,November,21013,Rural
E1002,D10,November,21771,Rural
E1003,D10,November,27668,Rural
E1001,D10,October,21445,Rural
E1002,D10,October,10446,Rural
E1003,D10,October,13068,Rural
E1001,D10,September,27906,Rural
E1002,D10,September,22077,Rural
E1003,D10,September,10645,Rural
E201,D2,April,27049,Rural
E202,D2,April,14960,Rural
E203,D2,April,16495,Rural
E204,D2,April,13942,Rural
E205,D2,April,13496,Rural
E201,D2,August,19285,Rural
E202,D2,August,21124,Rural
E203,D2,August,23253,Rural
E204,D2,August,17848,Rural
E205,D2,August,18810,Rural
E201,D2,December,28536,Rural
E202,D2,December,17645,Rural
E203,D2,December,15135,Rural
E204,D2,December,20756,Rural
E205,D2,December,25417,Rural
E201,D2,February,25587,Rural
E202,D2,February,26956,Rural
E203,D2,February,13055,Rural
E204,D2,February,20048,Rural
E205,D2,February,16128,Rural
E201,D2,January,16034,Rural
E202,D2,January,18531,Rural
E203,D2,January,11903,Rural
E204,D2,January,13245,Rural
E205,D2,January,26761,Rural
E201,D2,July,12249,Rural
E202,D2,July,15696,Rural
E203,D2,July,12549,Rural
E204,D2,July,14929,Rural
E205,D2,July,14781,Rural
E201,D2,June,22556,Rural
E202,D2,June,19492,Rural
E203,D2,June,15148,Rural
E204,D2,June,27924,Rural
E205,D2,June,12603,Rural
E201,D2,March,13708,Rural
E202,D2,March,11170,Rural
E203,D2,March,23138,Rural
E204,D2,March,10107,Rural
E205,D2,March,13063,Rural
E201,D2,May,25001,Rural
E202,D2,May,19210,Rural
E203,D2,May,12151,Rural
E204,D2,May,22103,Rural
E205,D2,May,15336,Rural
E201,D2,November,28114,Rural
E202,D2,November,12652,Rural
E203,D2,November,25262,Rural
E204,D2,November,20157,Rural
E205,D2,November,26126,Rural
E201,D2,October,27497,Rural
E202,D2,October,18390,Rural
E203,D2,October,21093,Rural
E204,D2,October,25277,Rural
E205,D2,October,17818,Rural
E201,D2,September,23586,Rural
E202,D2,September,12874,Rural
E203,D2,September,20208,Rural
E204,D2,September,25040,Rural
E205,D2,September,28917,Rural
E301,D3,April,44954,Urban
E302,D3,April,33413,Urban
E303,D3,April,36256,Urban
E304,D3,April,21238,Urban
E305,D3,April,46052,Urban
E301,D3,August,23821,Urban
E302,D3,August,27277,Urban
E303,D3,August,27321,Urban
E304,D3,August,43590,Urban
E305,D3,August,25155,Urban
E301,D3,December,32835,Urban
E302,D3,December,22121,Urban
E303,D3,December,38192,Urban
E304,D3,December,21198,Urban
E305,D3,December,22889,Urban
E301,D3,February,40795,Urban
E302,D3,February,32205,Urban
E303,D3,February,28595,Urban
E304,D3,February,25866,Urban
E305,D3,February,40888,Urban
E301,D3,January,41986,Urban
E302,D3,January,37771,Urban
E303,D3,January,44693,Urban
E304,D3,January,28529,Urban
E305,D3,January,30218,Urban
E301,D3,July,42516,Urban
E302,D3,July,31956,Urban
E303,D3,July,39114,Urban
E304,D3,July,40630,Urban
E305,D3,July,46646,Urban
E301,D3,June,48756,Urban
E302,D3,June,46961,Urban
E303,D3,June,28099,Urban
E304,D3,June,21900,Urban
E305,D3,June,49929,Urban
E301,D3,March,49505,Urban
E302,D3,March,32446,Urban
E303,D3,March,49100,Urban
E304,D3,March,20399,Urban
E305,D3,March,44878,Urban
E301,D3,May,40830,Urban
E302,D3,May,44972,Urban
E303,D3,May,25845,Urban
E304,D3,May,30489,Urban
E305,D3,May,43481,Urban
E301,D3,November,41349,Urban
E302,D3,November,28968,Urban
E303,D3,November,24050,Urban
E304,D3,November,31942,Urban
E305,D3,November,30186,Urban
E301,D3,October,29368,Urban
E302,D3,October,41608,Urban
E303,D3,October,30173,Urban
E304,D3,October,33862,Urban
E305,D3,October,24889,Urban
E301,D3,September,33153,Urban
E302,D3,September,33594,Urban
E303,D3,September,32138,Urban
E304,D3,September,28842,Urban
E305,D3,September,47447,Urban
E401,D4,April,27986,Rural
E402,D4,April,17256,Rural
E403,D4,April,23352,Rural
E404,D4,April,26863,Rural
E405,D4,April,28077,Rural
E401,D4,August,15052,Rural
E402,D4,August,14526,Rural
E403,D4,August,20222,Rural
E404,D4,August,11132,Rural
E405,D4,August,17905,Rural
E401,D4,December,22477,Rural
E402,D4,December,12469,Rural
E403,D4,December,24867,Rural
E404,D4,December,10624,Rural
E405,D4,December,16957,Rural
E401,D4,February,14637,Rural
E402,D4,February,11450,Rural
E403,D4,February,18990,Rural
E404,D4,February,19718,Rural
E405,D4,February,18808,Rural
E401,D4,January,29916,Rural
E402,D4,January,24362,Rural
E403,D4,January,19241,Rural
E404,D4,January,26758,Rural
E405,D4,January,12021,Rural
E401,D4,July,14749,Rural
E402,D4,July,28799,Rural
E403,D4,July,20554,Rural
E404,D4,July,15803,Rural
E405,D4,July,26571,Rural
E401,D4,June,22571,Rural
E402,D4,June,19792,Rural
E403,D4,June,23372,Rural
E404,D4,June,14700,Rural
E405,D4,June,26675,Rural
E401,D4,March,26136,Rural
E402,D4,March,17315,Rural
E403,D4,March,16195,Rural
E404,D4,March,28871,Rural
E405,D4,March,24439,Rural
E401,D4,May,26878,Rural
E402,D4,May,26989,Rural
E403,D4,May,11872,Rural
E404,D4,May,10606,Rural
E405,D4,May,29954,Rural
E401,D4,November,19157,Rural
E402,D4,November,13739,Rural
E403,D4,November,23475,Rural
E404,D4,November,25423,Rural
E405,D4,November,16606,Rural
E401,D4,October,28649,Rural
E402,D4,October,11830,Rural
E403,D4,October,18544,Rural
E404,D4,October,15681,Rural
E405,D4,October,14622,Rural
E401,D4,September,11219,Rural
E402,D4,September,11122,Rural
E403,D4,September,14337,Rural
E404,D4,September,19676,Rural
E405,D4,September,11178,Rural
E501,D5,April,21173,Urban
E502,D5,April,21407,Urban
E503,D5,April,49433,Urban
E504,D5,April,41913,Urban
E505,D5,April,40182,Urban
E501,D5,August,24362,Urban
E502,D5,August,27138,Urban
E503,D5,August,36684,Urban
E504,D5,August,35991,Urban
E505,D5,August,43804,Urban
E501,D5,December,39879,Urban
E502,D5,December,48602,Urban
E503,D5,December,30055,Urban
E504,D5,December,48326,Urban
E505,D5,December,28653,Urban
E501,D5,February,34978,Urban
E502,D5,February,33975,Urban
E503,D5,February,20880,Urban
E504,D5,February,49123,Urban
E505,D5,February,39108,Urban
E501,D5,January,37576,Urban
E502,D5,January,26016,Urban
E503,D5,January,41446,Urban
E504,D5,January,40028,Urban
E505,D5,January,29372,Urban
E501,D5,July,49063,Urban
E502,D5,July,39977,Urban
E503,D5,July,34181,Urban
E504,D5,July,34152,Urban
E505,D5,July,29894,Urban
E501,D5,June,31420,Urban
E502,D5,June,35101,Urban
E503,D5,June,43639,Urban
E504,D5,June,23446,Urban
E505,D5,June,32967,Urban
E501,D5,March,48286,Urban
E502,D5,March,31035,Urban
E503,D5,March,21748,Urban
E504,D5,March,39961,Urban
E505,D5,March,30908,Urban
E501,D5,May,29193,Urban
E502,D5,May,24559,Urban
E503,D5,May,49341,Urban
E504,D5,May,34902,Urban
E505,D5,May,36974,Urban
E501,D5,November,47017,Urban
E502,D5,November,36743,Urban
E503,D5,November,35190,Urban
E504,D5,November,42617,Urban
E505,D5,November,34376,Urban
E501,D5,October,35165,Urban
E502,D5,October,40741,Urban
E503,D5,October,47266,Urban
E504,D5,October,28705,Urban
E505,D5,October,27995,Urban
E501,D5,September,25351,Urban
E502,D5,September,42656,Urban
E503,D5,September,28978,Urban
E504,D5,September,23592,Urban
E505,D5,September,48288,Urban
E601,D6,April,28884,Rural
E602,D6,April,13296,Rural
E603,D6,April,12693,Rural
E604,D6,April,17922,Rural
E601,D6,August,28086,Rural
E602,D6,August,12726,Rural
E603,D6,August,29854,Rural
E604,D6,August,26392,Rural
E601,D6,December,13415,Rural
E602,D6,December,16192,Rural
E603,D6,December,29095,Rural
E604,D6,December,20058,Rural
E601,D6,February,13139,Rural
E602,D6,February,25950,Rural
E603,D6,February,13760,Rural
E604,D6,February,14158,Rural
E601,D6,January,23197,Rural
E602,D6,January,15716,Rural
E603,D6,January,10973,Rural
E604,D6,January,24017,Rural
E601,D6,July,21549,Rural
E602,D6,July,24160,Rural
E603,D6,July,23384,Rural
E604,D6,July,14542,Rural
E601,D6,June,18597,Rural
E602,D6,June,16304,Rural
E603,D6,June,29067,Rural
E604,D6,June,13402,Rural
E601,D6,March,26196,Rural
E602,D6,March,26054,Rural
E603,D6,March,27748,Rural
E604,D6,March,27307,Rural
E601,D6,May,16714,Rural
E602,D6,May,19104,Rural
E603,D6,May,17313,Rural
E604,D6,May,11937,Rural
E601,D6,November,16764,Rural
E602,D6,November,28187,Rural
E603,D6,November,20271,Rural
E604,D6,November,15612,Rural
E601,D6,October,29472,Rural
E602,D6,October,18486,Rural
E603,D6,October,19039,Rural
E604,D6,October,24485,Rural
E601,D6,September,25973,Rural
E602,D6,September,15671,Rural
E603,D6,September,12105,Rural
E604,D6,September,25343,Rural
E701,D7,April,42061,Urban
E702,D7,April,35402,Urban
E703,D7,April,49255,Urban
E704,D7,April,39919,Urban
E705,D7,April,42202,Urban
E701,D7,August,22581,Urban
E702,D7,August,27568,Urban
E703,D7,August,27489,Urban
E704,D7,August,32907,Urban
E705,D7,August,23375,Urban
E701,D7,December,38953,Urban
E702,D7,December,23873,Urban
E703,D7,December,28594,Urban
E704,D7,December,23289,Urban
E705,D7,December,27791,Urban
E701,D7,February,34582,Urban
E702,D7,February,35597,Urban
E703,D7,February,27111,Urban
E704,D7,February,36166,Urban
E705,D7,February,45818,Urban
E701,D7,January,27500,Urban
E702,D7,January,29378,Urban
E703,D7,January,44437,Urban
E704,D7,January,29003,Urban
E705,D7,January,28604,Urban
E701,D7,July,36764,Urban
E702,D7,July,37521,Urban
E703,D7,July,29116,Urban
E704,D7,July,41616,Urban
E705,D7,July,29008,Urban
E701,D7,June,25807,Urban
E702,D7,June,26191,Urban
E703,D7,June,35254,Urban
E704,D7,June,43713,Urban
E705,D7,June,25175,Urban
E701,D7,March,28255,Urban
E702,D7,March,22915,Urban
E703,D7,March,25523,Urban
E704,D7,March,28382,Urban
E705,D7,March,35210,Urban
E701,D7,May,45205,Urban
E702,D7,May,46678,Urban
E703,D7,May,47129,Urban
E704,D7,May,39455,Urban
E705,D7,May,38522,Urban
E701,D7,November,23179,Urban
E702,D7,November,41105,Urban
E703,D7,November,39331,Urban
E704,D7,November,45413,Urban
E705,D7,November,38403,Urban
E701,D7,October,43484,Urban
E702,D7,October,40994,Urban
E703,D7,October,22122,Urban
E704,D7,October,29478,Urban
E705,D7,October,28866,Urban
E701,D7,September,22956,Urban
E702,D7,September,21658,Urban
E703,D7,September,42838,Urban
E704,D7,September,49848,Urban
E705,D7,September,33343,Urban
E801,D8,April,14567,Rural
E802,D8,April,29581,Rural
E803,D8,April,22408,Rural
E804,D8,April,14906,Rural
E801,D8,August,27421,Rural
E802,D8,August,25896,Rural
E803,D8,August,28990,Rural
E804,D8,August,11425,Rural
E801,D8,December,25531,Rural
E802,D8,December,22239,Rural
E803,D8,December,25408,Rural
E804,D8,December,14826,Rural
E801,D8,February,10791,Rural
E802,D8,February,16871,Rural
E803,D8,February,12307,Rural
E804,D8,February,10252,Rural
E801,D8,January,29159,Rural
E802,D8,January,24728,Rural
E803,D8,January,13578,Rural
E804,D8,January,23165,Rural
E801,D8,July,27663,Rural
E802,D8,July,22270,Rural
E803,D8,July,13437,Rural
E804,D8,July,20940,Rural
E801,D8,June,19119,Rural
E802,D8,June,18968,Rural
E803,D8,June,26134,Rural
E804,D8,June,14947,Rural
E801,D8,March,22093,Rural
E802,D8,March,29325,Rural
E803,D8,March,11244,Rural
E804,D8,March,11242,Rural
E801,D8,May,23187,Rural
E802,D8,May,14361,Rural
E803,D8,May,15562,Rural
E804,D8,May,27856,Rural
E801,D8,November,21830,Rural
E802,D8,November,10144,Rural
E803,D8,November,15504,Rural
E804,D8,November,28467,Rural
E801,D8,October,15753,Rural
E802,D8,October,22590,Rural
E803,D8,October,21679,Rural
E804,D8,October,13176,Rural
E801,D8,September,15514,Rural
E802,D8,September,19345,Rural
E803,D8,September,17619,Rural
E804,D8,September,17085,Rural
E901,D9,April,36724,Urban
E902,D9,April,21682,Urban
E903,D9,April,38636,Urban
E901,D9,August,38980,Urban
E902,D9,August,29229,Urban
E903,D9,August,38875,Urban
E901,D9,December,37910,Urban
E902,D9,December,40123,Urban
E903,D9,December,26716,Urban
E901,D9,February,48149,Urban
E902,D9,February,30191,Urban
E903,D9,February,49177,Urban
E901,D9,January,23054,Urban
E902,D9,January,28444,Urban
E903,D9,January,48986,Urban
E901,D9,July,38196,Urban
E902,D9,July,20610,Urban
E903,D9,July,47272,Urban
E901,D9,June,47750,Urban
E902,D9,June,34719,Urban
E903,D9,June,42041,Urban
E901,D9,March,24513,Urban
E902,D9,March,27696,Urban
E903,D9,March,43752,Urban
E901,D9,May,38168,Urban
E902,D9,May,48796,Urban
E903,D9,May,24704,Urban
E901,D9,November,40949,Urban
E902,D9,November,42171,Urban
E903,D9,November,31686,Urban
E901,D9,October,40677,Urban
E902,D9,October,26366,Urban
E903,D9,October,21040,Urban
E901,D9,September,22942,Urban
E902,D9,September,33814,Urban
E903,D9,September,22804,Urban
